"Time","Timestamp","cpu_usage","memory_usage","bandwidth_inbound","bandwidth_outbound","tps","tps_error","response_time","Status"
"2023-09-08 01:19:40","1694110780000","11.8%","53.6%","3.54 GB/s","3.15 GB/s","2.40 req/s","0 req/s","1.43 s","0"
"2023-09-08 01:19:45","1694110785000","16.0%","53.1%","6.87 GB/s","6.12 GB/s","3 req/s","0 req/s","1.43 s","0"
"2023-09-08 01:19:50","1694110790000","10.2%","53.8%","6.41 GB/s","5.50 GB/s","2 req/s","0 req/s","532 ms","0"
"2023-09-08 01:19:55","1694110795000","9.80%","54.9%","6.78 GB/s","5.87 GB/s","1.60 req/s","0 req/s","462 ms","0"
"2023-09-08 01:20:00","1694110800000","8.40%","53.1%","4.45 GB/s","3.88 GB/s","2 req/s","0 req/s","970 ms","0"
"2023-09-08 01:20:05","1694110805000","28.4%","54.4%","15.5 GB/s","13.6 GB/s","2.80 req/s","0 req/s","1.68 s","0"
"2023-09-08 01:20:10","1694110810000","19.8%","54.0%","5.03 GB/s","4.51 GB/s","2.60 req/s","0 req/s","2.11 s","0"
"2023-09-08 01:20:15","1694110815000","26.8%","56.5%","10.8 GB/s","9.79 GB/s","3.40 req/s","0 req/s","2.39 s","0"
"2023-09-08 01:20:20","1694110820000","19.2%","54.0%","8.71 GB/s","7.64 GB/s","4 req/s","0 req/s","1.17 s","0"
"2023-09-08 01:20:25","1694110825000","13.6%","54.4%","6.67 GB/s","5.80 GB/s","1.80 req/s","0 req/s","567 ms","0"
"2023-09-08 01:20:30","1694110830000","14.4%","53.0%","2.90 GB/s","2.63 GB/s","2.40 req/s","0 req/s","648 ms","0"
"2023-09-08 01:20:35","1694110835000","10.2%","53.7%","3.36 GB/s","2.99 GB/s","2 req/s","0 req/s","708 ms","0"
"2023-09-08 01:20:40","1694110840000","15.0%","58.6%","11.4 GB/s","9.98 GB/s","2.60 req/s","0 req/s","629 ms","0"
"2023-09-08 01:20:45","1694110845000","23.4%","55.3%","9.38 GB/s","8.17 GB/s","2.60 req/s","0 req/s","1.28 s","0"
"2023-09-08 01:20:50","1694110850000","11.8%","53.0%","2.39 GB/s","2.18 GB/s","2 req/s","0 req/s","910 ms","0"
"2023-09-08 01:20:55","1694110855000","20.2%","53.2%","13.2 GB/s","11.4 GB/s","2.20 req/s","0 req/s","746 ms","0"
"2023-09-08 01:21:00","1694110860000","8.80%","53.1%","5.64 GB/s","4.92 GB/s","2.40 req/s","0 req/s","528 ms","0"
"2023-09-08 01:21:05","1694110865000","15.2%","53.2%","4.94 GB/s","4.34 GB/s","2.40 req/s","0 req/s","812 ms","0"
"2023-09-08 01:21:10","1694110870000","20.4%","53.2%","5.07 GB/s","4.57 GB/s","2.60 req/s","0 req/s","2.30 s","0"
"2023-09-08 01:21:15","1694110875000","20.8%","54.1%","9.13 GB/s","8.06 GB/s","2.80 req/s","0 req/s","2.98 s","0"
"2023-09-08 01:21:20","1694110880000","23.4%","59.6%","13.6 GB/s","12.0 GB/s","4 req/s","0 req/s","2.05 s","0"
"2023-09-08 01:21:25","1694110885000","21.0%","53.7%","10.3 GB/s","8.91 GB/s","3.60 req/s","0 req/s","1.48 s","0"
"2023-09-08 01:21:30","1694110890000","27.0%","55.5%","15.5 GB/s","13.3 GB/s","4 req/s","0 req/s","947 ms","0"
"2023-09-08 01:21:35","1694110895000","13.6%","54.0%","1.98 GB/s","1.77 GB/s","1.60 req/s","0 req/s","1.02 s","0"
"2023-09-08 01:21:40","1694110900000","31.2%","55.4%","11.6 GB/s","10.2 GB/s","4.20 req/s","0 req/s","2.47 s","0"
"2023-09-08 01:21:45","1694110905000","22.8%","53.3%","8.66 GB/s","7.48 GB/s","2.80 req/s","0 req/s","1.84 s","0"
"2023-09-08 01:21:50","1694110910000","13.8%","53.7%","6.01 GB/s","5.32 GB/s","3 req/s","0 req/s","2.45 s","0"
"2023-09-08 01:21:55","1694110915000","19.4%","53.8%","8.30 GB/s","7.44 GB/s","3.80 req/s","0 req/s","3.62 s","0"
"2023-09-08 01:22:00","1694110920000","17.2%","54.4%","9.62 GB/s","8.30 GB/s","2.40 req/s","0 req/s","2.33 s","0"
"2023-09-08 01:22:05","1694110925000","17.4%","53.7%","3.23 GB/s","3.04 GB/s","3 req/s","0 req/s","2.19 s","0"
"2023-09-08 01:22:10","1694110930000","11.4%","53.7%","3.12 GB/s","2.72 GB/s","2.40 req/s","0 req/s","397 ms","0"
"2023-09-08 01:22:15","1694110935000","8.80%","53.3%","5.72 GB/s","4.96 GB/s","2 req/s","0 req/s","625 ms","0"
"2023-09-08 01:22:20","1694110940000","6.40%","53.3%","3.02 GB/s","2.68 GB/s","3 req/s","0 req/s","1.55 s","0"
"2023-09-08 01:22:25","1694110945000","18.2%","53.4%","9.42 GB/s","8.27 GB/s","2.40 req/s","0 req/s","814 ms","0"
"2023-09-08 01:22:30","1694110950000","13.0%","53.4%","5.73 GB/s","4.99 GB/s","2 req/s","0 req/s","815 ms","0"
"2023-09-08 01:22:35","1694110955000","15.2%","55.3%","8.13 GB/s","7.06 GB/s","2.80 req/s","0 req/s","825 ms","0"
"2023-09-08 01:22:40","1694110960000","12.2%","54.0%","4.64 GB/s","4.11 GB/s","2 req/s","0 req/s","871 ms","0"
"2023-09-08 01:22:45","1694110965000","10.6%","53.7%","2.63 GB/s","2.37 GB/s","2.40 req/s","0 req/s","663 ms","0"
"2023-09-08 01:22:50","1694110970000","13.4%","52.0%","4.85 GB/s","4.42 GB/s","2 req/s","0 req/s","1.98 s","0"
"2023-09-08 01:22:55","1694110975000","23.6%","53.4%","12.0 GB/s","10.5 GB/s","3.60 req/s","0 req/s","1.37 s","0"
"2023-09-08 01:23:00","1694110980000","12.0%","54.5%","6.27 GB/s","5.36 GB/s","2.60 req/s","0 req/s","846 ms","0"
"2023-09-08 01:23:05","1694110985000","11.6%","54.1%","4.19 GB/s","3.60 GB/s","1.80 req/s","0 req/s","613 ms","0"
"2023-09-08 01:23:10","1694110990000","9.20%","53.3%","2.66 GB/s","2.32 GB/s","1.60 req/s","0 req/s","464 ms","0"
"2023-09-08 01:23:15","1694110995000","13.2%","53.6%","5.28 GB/s","4.63 GB/s","1.80 req/s","0 req/s","630 ms","0"
"2023-09-08 01:23:20","1694111000000","8.20%","54.1%","5.79 GB/s","4.96 GB/s","2 req/s","0 req/s","377 ms","0"
"2023-09-08 01:23:25","1694111005000","6.60%","55.9%","3.83 GB/s","3.30 GB/s","1.60 req/s","0 req/s","373 ms","0"
"2023-09-08 01:23:30","1694111010000","11.6%","53.2%","3.29 GB/s","2.98 GB/s","3.20 req/s","0 req/s","682 ms","0"
"2023-09-08 01:23:35","1694111015000","17.4%","56.5%","8.28 GB/s","7.23 GB/s","3.80 req/s","0 req/s","871 ms","0"
"2023-09-08 01:23:40","1694111020000","13.6%","54.9%","9.55 GB/s","8.23 GB/s","2.40 req/s","0 req/s","1.08 s","0"
"2023-09-08 01:23:45","1694111025000","11.2%","53.3%","3.50 GB/s","3.04 GB/s","1.80 req/s","0 req/s","440 ms","0"
"2023-09-08 01:23:50","1694111030000","12.4%","53.3%","4.45 GB/s","3.95 GB/s","2.40 req/s","0 req/s","635 ms","0"
"2023-09-08 01:23:55","1694111035000","18.6%","55.7%","9.93 GB/s","8.73 GB/s","3.60 req/s","0 req/s","2.15 s","0"
"2023-09-08 01:24:00","1694111040000","20.6%","52.6%","5.31 GB/s","4.75 GB/s","3.20 req/s","0 req/s","1.59 s","0"
"2023-09-08 01:24:05","1694111045000","13.4%","53.6%","5.25 GB/s","4.54 GB/s","1.80 req/s","0 req/s","701 ms","0"
"2023-09-08 01:24:10","1694111050000","12.4%","54.7%","6.08 GB/s","5.28 GB/s","2.60 req/s","0 req/s","893 ms","0"
"2023-09-08 01:24:15","1694111055000","23.4%","54.6%","9.72 GB/s","8.50 GB/s","3.20 req/s","0 req/s","1.89 s","0"
"2023-09-08 01:24:20","1694111060000","28.6%","54.1%","12.0 GB/s","11.2 GB/s","4.20 req/s","0 req/s","1.87 s","0"
"2023-09-08 01:24:25","1694111065000","18.8%","55.3%","10.4 GB/s","8.22 GB/s","3.20 req/s","0 req/s","702 ms","0"
"2023-09-08 01:24:30","1694111070000","9.60%","55.2%","6.49 GB/s","5.59 GB/s","1.60 req/s","0 req/s","306 ms","0"
"2023-09-08 01:24:35","1694111075000","11.2%","54.8%","6.97 GB/s","6.00 GB/s","2 req/s","0 req/s","435 ms","0"
